Id,Size,Label
정리정돈,0.0533802648991553,정리정돈
상부,0.05042219899921701,상부
이동,0.04745307195656661,이동
원상,0.04704731187408958,원상
의사소통,0.3474776257454111,의사소통
신호,0.33106708972906695,신호
일치,0.2791727352513058,일치
자간,0.1811314489759826,자간
기사,0.15889239963583324,기사
상호,0.14145621881183174,상호
인조,0.10121941756698329,인조
가시,0.09872848074678912,가시
제때,0.09731704236969214,제때
관계,0.09731704236969214,관계
포트,0.6602001272492484,포트
하층,0.1348419043388268,하층
드롭,0.11657851395836176,드롭
패널,0.1040056686655893,패널
얼굴,0.08013694409240442,얼굴
손등,0.0789782803973397,손등
조정,0.07789076652923868,조정
전달,0.07248301210363622,전달
손위,0.06458312811806842,손위
하부,0.06337023733325131,하부
