,이동,자재,운반,비계,사용,철근,주위,설치,단독,손가락,단순,과실,자의,반경,반복,동작,낙하,부주의,배관,배근,근로자,미흡,부주의,행동,결빙,질병,불안전,방법,위험,불량,부주의,돌풍,기술,자재,임목,중량,렌탈,철골,난간,발판,부주의,자의,불안전,개인,행동,부족,판단,자세,평재,인지,자재,이동,균형,운반,년월,트러스,설치,혼합,소속,압송,이동,보행,뒷걸음,잔돌,바닥상태,헛딛음,물체,지정,통행,주위,미흡,통제,주변,동부,원인,착용,하부,구간,확보,보호,철골,안전,설치,자재,추락,이동,데크,바닥,체결,철근
단순,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.424731040853335,0.711070950312236,0.8049778258651026,0.7990665072501042,0.7876846116647338,0.7597192781848013,0.7654560484833549,0.7406595064863104,0.7406595064863104,0.0,0.0,0.7654560484833549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7654560484833549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7654560484833549,0.711070950312236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
과실,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.424731040853335,0.0,0.6743066675725721,0.751974573315329,0.7459223535426335,0.7349573275788048,0.7079465795608978,0.7166374753877034,0.6918409333906589,0.6918409333906589,0.0,0.0,0.7166374753877034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166374753877034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166374753877034,0.6743066675725721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
자의,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711070950312236,0.6743066675725721,0.0,0.16493861823398984,0.1623414722050714,0.15787353951158475,0.1432411237944769,0.20464791538039082,0.1421752921127742,0.1421752921127742,0.0,0.0,0.20464791538039082,0.15897915367890206,0.0,0.0,0.08858143890612241,0.0,0.0,0.0,0.20464791538039082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20464791538039082,0.0,0.08858143890612241,0.11134075983856749,0.15897915367890206,0.10173300127776044,0.0930365927656232,0.09698642520453798,0.09476810384537163,0.12800078102016138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
반경,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8049778258651026,0.751974573315329,0.16493861823398984,0.0,0.12522497402995353,0.11809642596935785,0.10066266378734305,0.08930510793191138,0.06450856593486684,0.06450856593486684,0.0,0.0,0.08930510793191138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08930510793191138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08930510793191138,0.16493861823398984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
반복,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7990665072501042,0.7459223535426335,0.1623414722050714,0.12522497402995353,0.0,0.11536845433255542,0.09790184278709563,0.08604895826127514,0.06125241626423059,0.06125241626423059,0.0,0.0,0.08604895826127514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08604895826127514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08604895826127514,0.1623414722050714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동작,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876846116647338,0.7349573275788048,0.15787353951158475,0.11809642596935785,0.11536845433255542,0.0,0.09254506140673739,0.07972849379723702,0.05493195180019248,0.05493195180019248,0.0,0.0,0.07972849379723702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07972849379723702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07972849379723702,0.15787353951158475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
낙하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597192781848013,0.7079465795608978,0.1432411237944769,0.10066266378734305,0.09790184278709563,0.09254506140673739,0.0,0.06348432803971306,0.03868778604266852,0.03868778604266852,0.0,0.0,0.06348432803971306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06348432803971306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06348432803971306,0.1432411237944769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부주의,0.0,0.731401475689466,0.0,0.0,0.0,0.03643079470792645,0.0,0.0,0.0,0.0,0.7654560484833549,0.7166374753877034,0.20464791538039082,0.08930510793191138,0.08604895826127514,0.07972849379723702,0.06348432803971306,0.0,0.02479654199704454,0.02479654199704454,0.1674340723804963,0.08198827472631748,0.0,0.1691489492780888,0.06004603004358644,0.06004603004358644,0.19175850101082192,0.05904199827809596,0.05884430648905684,0.056823891789634526,0.0,0.10317842116185422,0.09794290075225524,0.731401475689466,0.0852755381922297,0.07382606414185805,0.07508466795818548,0.05966104353497987,0.06649404511327052,0.05867637609185984,0.0,0.20464791538039082,0.19175850101082192,0.17629999577802077,0.1691489492780888,0.14969819789279354,0.1439499131394495,0.14150130463361732,0.13891702494988034,0.13817057661934812,0.731401475689466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08198827472631748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05966104353497987,0.0,0.0,0.731401475689466,0.0,0.0,0.0,0.0,0.0,0.03643079470792645
배관,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009630317844014163,0.7406595064863104,0.6918409333906589,0.1421752921127742,0.06450856593486684,0.06125241626423059,0.05493195180019248,0.03868778604266852,0.02479654199704454,0.0,0.0,0.0,0.0,0.02479654199704454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02479654199704454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02479654199704454,0.1421752921127742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011728187053106704,0.0,0.0,0.008830701924081492,0.0,0.011145515275263454,0.0,0.00941207952136488,0.0
배근,0.0,0.0,0.0,0.014572531324467168,0.01667550431290748,0.011917896889276934,0.0,0.0,0.016775530832064598,0.017088751634259703,0.7406595064863104,0.6918409333906589,0.1421752921127742,0.06450856593486684,0.06125241626423059,0.05493195180019248,0.03868778604266852,0.02479654199704454,0.0,0.0,0.0,0.0,0.02479654199704454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02479654199704454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02479654199704454,0.1421752921127742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01372081985032413,0.0,0.0,0.012074451692274906,0.0,0.01247588973028184,0.0,0.009182716272061813,0.011917896889276934
