Source,Target,Weight
미흡,골격계,0.11611096301605617
미흡,개인,0.10978835136037811
미흡,심근경색,0.10953442277653463
미흡,주시,0.10856391608866293
미흡,전방,0.10782494356772238
미흡,피로,0.10391130196659377
질병,질환,0.09887331172620492
질병,원인,0.08402818152964385
질병,골격계,0.07987157971243364
질병,개인,0.07354896805675559
질병,심근경색,0.07329503947291213
질병,주시,0.07232453278504042
질병,전방,0.07158556026409986
질병,피로,0.06767191866297126
질환,원인,0.08302502148030652
질환,골격계,0.07886841966309632
질환,개인,0.07254580800741826
질환,심근경색,0.0722918794235748
질환,주시,0.0713213727357031
질환,전방,0.07058240021476253
질환,피로,0.06666875861363394
원인,골격계,0.06402328946653527
원인,개인,0.05770067781085721
원인,심근경색,0.05744674922701374
원인,주시,0.05647624253914203
원인,전방,0.055737270018201474
원인,피로,0.05182362841707287
골격계,개인,0.053544075993646995
골격계,심근경색,0.053290147409803534
골격계,주시,0.052319640721931834
골격계,전방,0.05158066820099127
골격계,피로,0.047667026599862675
개인,심근경색,0.046967535754125475
개인,주시,0.045997029066253775
개인,전방,0.045258056545313216
개인,피로,0.041344414944184615
심근경색,주시,0.045743100482410315
심근경색,전방,0.04500412796146975
심근경색,피로,0.041090486360341155
주시,전방,0.04403362127359804
주시,피로,0.04011997967246945
전방,피로,0.03938100715152888
철근,운반,0.17050228629646658
철근,자재,0.14628180786907394
철근,배근,0.14222563991725085
철근,이동,0.1263541977199562
철근,기초,0.1167322167532594
철근,상부,0.11579103788186391
철근,가공,0.1118498090981707
철근,부주의,0.11027162929878936
철근,실족,0.1084259049155204
운반,자재,0.12616205775947947
운반,배근,0.12210588980765638
운반,이동,0.10623444761036176
운반,기초,0.09661246664366496
운반,상부,0.09567128777226946
운반,가공,0.09173005898857625
운반,부주의,0.09015187918919491
운반,실족,0.08830615480592595
자재,배근,0.09788541138026374
자재,이동,0.08201396918296913
자재,기초,0.07239198821627232
자재,상부,0.07145080934487684
자재,가공,0.06750958056118361
자재,부주의,0.06593140076180229
자재,실족,0.06408567637853332
