Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
장비,장비,22,22,44,3,0.488688,0.560185,57.658573,3,19774.355469,-12701.399414,691.176453,"#5fc613"
배치,배치,13,13,26,3,0.442623,0.496914,6.074777,3,24773.251953,-13572.262695,558.823547,"#5fc613"
충돌,충돌,14,14,28,3,0.444444,0.501543,7.506595,3,25111.554688,-16187.978516,573.529419,"#5fc613"
덤프트럭,덤프트럭,14,14,28,3,0.440816,0.498457,2.843906,3,27081.884766,-9803.736328,573.529419,"#5fc613"
지대,지대,12,12,24,3,0.435484,0.487654,0,3,26956.851562,-12118.730469,544.117676,"#5fc613"
전달,전달,12,12,24,3,0.435484,0.487654,0,3,26998.951172,-14616.057617,544.117676,"#5fc613"
파일,파일,17,17,34,4,0.420233,0.496142,53.990849,3,18014.541016,-25683.279297,617.647034,"#5fc613"
질병,질병,9,9,18,4,0.356436,0.400463,0,4,18109.072266,25364.894531,500,"#ff5c81"
원인,원인,9,9,18,4,0.356436,0.400463,0,4,18944.068359,24230.164062,500,"#ff5c81"
복용,복용,9,9,18,4,0.356436,0.400463,0,4,17422.154297,26676.355469,500,"#ff5c81"
지병,지병,9,9,18,4,0.356436,0.400463,0,4,17400.072266,24026.724609,500,"#ff5c81"
추정,추정,9,9,18,4,0.356436,0.400463,0,4,18764.265625,26934.923828,500,"#ff5c81"
증상,증상,9,9,18,4,0.356436,0.400463,0,4,19454.777344,25660.408203,500,"#ff5c81"
고혈압,고혈압,9,9,18,4,0.356436,0.400463,0,4,16676.855469,25455.828125,500,"#ff5c81"
정맥,정맥,9,9,18,4,0.356436,0.400463,0,4,20292.998047,26911.566406,500,"#ff5c81"
심정지,심정지,9,9,18,4,0.356436,0.400463,0,4,20571.447266,24744.369141,500,"#ff5c81"
나무,나무,10,10,20,4,0.36,0.415123,0,5,-23316.537109,-24686.923828,514.705872,"#ea8615"
대피,대피,10,10,20,4,0.36,0.415123,0,5,-24596.435547,-24723.953125,514.705872,"#ea8615"
아웃,아웃,10,10,20,4,0.36,0.415123,0,5,-25638.878906,-23717.113281,514.705872,"#ea8615"
손가락,손가락,11,11,22,4,0.409091,0.466821,6.696901,3,13095.129883,-20822.265625,529.411743,"#5fc613"
포스트,포스트,11,11,22,4,0.409091,0.466821,6.696901,3,13706.958008,-25820.857422,529.411743,"#5fc613"
강재,강재,9,9,18,4,0.380282,0.436728,0,3,15101.949219,-21640.623047,500,"#5fc613"
손잡이,손잡이,9,9,18,4,0.380282,0.436728,0,3,12786.956055,-23129.789062,500,"#5fc613"
사보,사보,9,9,18,4,0.380282,0.436728,0,3,15152.041992,-23777.255859,500,"#5fc613"
