Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
감독,감독,16,16,32,4,0.41994,0.477818,2.630079,1,-1121.381226,-12120.0625,396.07843,"#5fc613"
관리자,관리자,16,16,32,4,0.41994,0.477818,2.630079,1,133.69548,-12658.575195,396.07843,"#5fc613"
결정,결정,16,16,32,4,0.41994,0.477818,2.630079,1,-1876.248535,-13432.181641,396.07843,"#5fc613"
협조,협조,15,15,30,4,0.408824,0.465228,0,1,-598.782104,-14096.143555,382.352936,"#5fc613"
부공,부공,15,15,30,4,0.408824,0.465228,0,1,801.599915,-14300.001953,382.352936,"#5fc613"
행정,행정,15,15,30,4,0.408824,0.465228,0,1,-1678.505493,-15124.051758,382.352936,"#5fc613"
관계자,관계자,15,15,30,4,0.408824,0.465228,0,1,-186.714172,-15599.954102,382.352936,"#5fc613"
안경,안경,10,10,20,3,0.431677,0.471223,0,5,-13581.148438,-5574.851562,313.725494,"#00caff"
램프,램프,10,10,20,3,0.431677,0.471223,0,5,-14698.244141,-5051.622559,313.725494,"#00caff"
지급,지급,10,10,20,3,0.431677,0.471223,0,5,-15556.443359,-5828.120605,313.725494,"#00caff"
안전모,안전모,10,10,20,3,0.431677,0.471223,0,5,-15178.761719,-7130.381836,313.725494,"#00caff"
일체,일체,10,10,20,3,0.431677,0.471223,0,5,-16407.912109,-6622.546387,313.725494,"#00caff"
운전,운전,20,20,40,3,0.417417,0.482014,87.861644,4,21473.015625,-10995.147461,450.980408,"#c686e9"
트리,트리,11,11,22,4,0.398281,0.443645,3.182203,4,25248.556641,-8241.426758,327.450989,"#c686e9"
아웃,아웃,11,11,22,4,0.398281,0.443645,3.182203,4,25131.974609,-6921.040039,327.450989,"#c686e9"
추락사고,추락사고,10,10,20,4,0.397143,0.440048,0.507949,4,24884.474609,-9553.576172,313.725494,"#c686e9"
트럭,트럭,13,13,26,4,0.401734,0.452038,8.5538,4,26805.40625,-9312.137695,354.901978,"#c686e9"
주차장,주차장,12,12,24,4,0.399425,0.447242,4.470059,4,26991.216797,-7365.402832,341.176483,"#c686e9"
호수,호수,11,11,22,3,0.396011,0.438849,4.759963,4,17741.445312,-12667.719727,327.450989,"#c686e9"
물이,물이,11,11,22,3,0.396011,0.438849,4.759963,4,17763.085938,-14067.425781,327.450989,"#c686e9"
빗물,빗물,11,11,22,3,0.396011,0.438849,4.759963,4,19174.224609,-13655.020508,327.450989,"#c686e9"
